emp_no;posisi_id
12-0553;18937
16-0615;18951
17-0334;18951
00-0394;18951
12-0063;18951
20-0020;18951
13-0369;18951
12-0924;18951
04-0006;18951
91-0249;18951
95-1163;18956
95-0819;18957
95-0981;18958
95-0980;18959
89-0071;18871
-;18961
10-0216;18979
10-0188;18979
12-0627;18979
12-0064;18979
96-0121;18979
04-0033;18979
16-0619;18979
12-0065;18979
04-0075;18963
97-0392;18981
00-0436;18981
94-0163;18981
14-0170;18981
12-0632;18981
14-0169;18981
16-0616;18981
97-0370;18981
94-0262;18965
91-0121;18989
96-0626;18989
96-0124;18989
89-0697;18989
10-0189;18989
10-0186;18989
12-0552;18989
13-0290;18989
04-0194;18967
14-0171;18992
20-0403;18992
12-0071;18992
12-0923;18992
10-0192;18992
10-0190;18992
00-0433;18992
89-0597;18992
93-0854;19102
16-1038;19111
89-0835;19111
08-0542;19111
14-0362;19111
16-1373;19111
99-0169;19111
95-0920;19111
00-0383;19103
89-0713;19113
14-0176;19113
16-1372;19113
04-0074;19113
04-0001;19113
95-0720;19113
97-0362;19105
94-0474;19115
16-1039;19115
92-0191;19115
15-0151;19115
13-0291;19115
13-1009;19115
04-0035;19108
03-0475;19117
08-0061;19117
12-1212;19117
87-0216;19117
16-1374;19117
90-0686;19117
04-0478;19117
20-0081;19128
20-0086;19132
20-0096;19134
20-0126;19135
05-0295;19137
97-0387;19140
20-0111;19146
17-0264;19154
12-0564;19154
11-0094;19154
16-1042;19154
10-0672;19154
95-0113;19154
16-0123;19154
20-0173;19148
99-0125;19156
95-1172;19156
04-0198;19156
15-1030;19156
89-0711;19156
96-0328;19156
11-0820;19156
15-0643;19150
99-0412;19158
16-2091;19158
91-0787;19158
12-0567;19158
99-0163;19158
15-1031;19158
20-0029;19158
90-0634;19151
12-0836;19160
04-0195;19160
88-0239;19160
16-2164;19160
95-0669;19160
94-0484;19160
99-0118;19209
94-0624;19214
93-0853;19214
14-0135;19214
99-0083;19214
11-0818;19214
91-0691;19210
93-0395;19216
00-0393;19216
95-0994;19216
15-0146;19216
16-1180;19216
99-0081;19211
16-0275;19218
89-0451;19218
04-0170;19218
17-0316;19218
11-0819;19218
89-0639;19212
96-0237;19230
94-0431;19230
93-0848;19230
12-0565;19230
00-0432;19230
20-0121;19163
89-0622;19168
89-0245;19186
17-0262;19186
13-0377;19186
12-0634;19186
95-0817;19186
99-0095;19186
13-0786;19186
95-0043;19169
93-0894;19188
89-0624;19188
95-0990;19188
89-0696;19188
16-2163;19188
04-0204;19188
00-0390;19188
13-0785;19170
94-0673;19191
12-0834;19191
14-0131;19191
94-0380;19191
95-0968;19191
04-0166;19191
04-0205;19191
99-0078;19171
12-0635;19193
14-0174;19193
11-0412;19193
96-0228;19193
89-0701;19193
17-0263;19193
96-0655;19193
13-0620;19233
07-0069;19285
15-0752;19294
16-1182;19294
04-0052;19294
04-0053;19294
00-0426;19294
16-0274;19294
04-0192;19286
16-0491;19296
94-0261;19296
15-0754;19296
16-0273;19296
15-0532;19296
12-0566;19296
95-0991;19287
12-1106;19298
99-0393;19298
13-0176;19298
11-0410;19298
13-0791;19298
00-0036;19288
10-0668;19300
15-0760;19300
15-0767;19300
08-0446;19300
99-0401;19300
93-0055;19289
12-0642;19302
11-0821;19302
15-0753;19302
04-0002;19302
-;19290
92-0184;19304
15-0759;19304
16-0489;19304
93-0613;19304
-;19291
15-0755;19306
20-0030;19306
16-1181;19306
13-0379;19306
20-0098;19292
16-0122;19308
04-0171;19308
10-0554;19308
95-1057;19310
15-0651;19312
96-0265;19323
96-0260;19332
95-0337;19332
12-0841;19332
08-0449;19332
00-0182;19332
96-0632;19332
97-0337;19332
17-0593;19332
15-0531;19332
98-0052;19332
16-1183;19332
99-0161;19324
12-0828;19334
17-0592;19334
94-0093;19334
90-0691;19334
89-0699;19334
14-0194;19334
11-0828;19334
97-0011;19334
16-1185;19334
96-0026;19325
00-0183;19336
16-0121;19336
99-0410;19336
88-0089;19336
12-0837;19336
13-0795;19336
95-0087;19336
95-0546;19336
12-0904;19336
14-0177;19336
15-0536;19336
94-0067;19326
16-1186;19338
11-0469;19338
96-0050;19338
00-0181;19338
11-0086;19338
13-0175;19338
15-0537;19338
20-0036;19338
96-0620;19338
94-0064;19338
96-0334;19338
14-0175;19338
95-0977;19327
20-0033;19340
11-0432;19340
95-1088;19340
11-0096;19340
16-1376;19340
00-0168;19328
15-1029;19342
11-0092;19342
04-0084;19342
11-0438;19342
20-0037;19342
20-0991;19329
08-0021;19494
15-1028;19494
95-1089;19494
14-0132;19494
12-0639;19494
91-0715;19330
13-0793;19344
12-0633;19344
90-0676;19344
04-0007;19344
15-1025;19344
20-0982;19314
94-0199;19349
20-0025;19354
15-1026;19354
13-0174;19354
13-0796;19354
11-0478;19354
04-0008;19354
89-0630;19350
20-0031;19356
11-0479;19356
10-0561;19356
04-0017;19356
17-0591;19356
96-0272;19356
12-0835;19356
11-0841;19351
16-1040;19358
11-0435;19358
20-0032;19358
13-0790;19358
20-0035;19358
99-0160;19352
15-1027;19360
16-2092;19360
05-0068;19360
11-0088;19360
12-0354;19360
20-0040;19360
93-0709;19366
97-0283;19369
91-0616;19372
90-0700;19374
16-1184;19374
90-0556;19374
99-0159;19374
99-0155;19374
13-0073;19374
00-0144;19401
00-0213;19405
07-0150;19405
96-0229;19409
04-0199;19413
20-0528;19413
11-0793;19413
10-0075;19413
13-0720;19413
17-0594;19413
96-0337;19416
10-0136;19420
13-0709;19420
16-1378;19420
12-0579;19420
93-0900;19370
96-0627;19447
00-0178;19451
94-0106;19451
97-0390;19451
04-0203;19449
11-0845;19453
13-0378;19453
99-0103;19453
04-0069;19453
02-0257;19453
89-0629;19453
06-0155;19453
16-1037;19453
-;19583
04-0003;19585
95-1097;19589
04-0032;19591
00-0430;19595
95-0034;19598
-;19602
93-0222;19606
-;19617
88-0196;19619
90-0799;19622
-;19624
-;19626
14-0909;19628
15-0642;19630
12-0550;19632
16-1978;19634
-;19636
99-0084;20358
11-0817;20359
11-0658;19639
10-0567;19640
00-0578;19642
06-0059;19647
08-0405;19663
20-0988;19665
20-0091;19667
15-0637;19667
20-0097;19669
20-0979;19671
14-0911;19672
14-0912;19674
20-0115;19674
20-0985;19676
14-0845;19678
20-0996;19680
06-0079;19681
14-0913;19683
20-0990;19685
14-0846;19687
-;19689
03-0456;19690
20-0981;19692
20-0135;19694
14-0983;19696
14-0984;19696
20-0986;19698
09-0010;19699
95-0987;19704
20-1549;19717
20-1550;19717
15-0147;19717
08-0239;19717
14-0575;19717
13-0564;19717
20-1547;19717
13-0565;19717
05-0048;19717
96-0280;19717
20-1546;19717
20-1548;19717
04-0109;19705
20-1555;19719
94-0378;19719
04-0066;19719
95-0211;19719
20-1552;19719
20-1554;19719
96-0030;19719
20-1551;19719
20-1553;19719
93-0838;19719
08-0246;19719
07-0245;19706
07-0256;19721
20-1557;19721
95-0850;19721
20-1556;19721
20-1559;19721
13-0708;19721
10-0020;19721
11-0708;19721
15-0153;19721
95-1021;19721
20-1558;19721
20-1560;19721
94-0068;19707
95-1078;19723
20-1566;19723
20-1562;19723
07-0151;19723
95-0745;19723
14-0507;19723
00-0527;19723
11-0334;19723
20-1564;19723
20-1561;19723
20-1563;19723
10-0674;19723
07-0251;19709
11-0380;19725
15-0152;19725
14-0578;19725
14-0173;19711
93-0851;19727
07-0250;19727
07-0248;19713
03-0194;19729
05-0029;19729
14-0577;19729
04-0040;19715
95-0841;19731
14-0576;19731
00-0534;19731
95-1046;19733
10-0855;19734
02-0084;19736
95-0986;19737
94-0129;19739
16-0369;19739
00-0643;19741
04-0049;19742
02-0192;19744
04-0064;19746
11-0544;19748
94-0083;19750
89-0388;19754
10-0851;19756
95-1047;19648
00-0157;19757
91-0765;19780
89-0429;19791
89-0668;19791
89-0162;19791
99-0086;19791
89-0691;19791
93-0702;19791
88-0379;19791
89-0727;19791
89-0620;19793
03-0146;19793
89-0084;19793
90-0718;19793
89-0686;19785
91-0155;19796
00-0242;19796
90-0357;19796
89-0015;19796
89-0757;19796
95-0582;19796
86-0051;19798
89-0490;19798
96-0019;19798
91-0096;19787
94-0478;19803
88-0122;19803
90-0522;19803
89-0266;19803
91-0323;19803
91-0648;19803
89-0625;19803
89-0594;19806
99-0416;19806
99-0215;19806
94-0365;19789
95-0365;19808
88-0201;19808
87-0160;19808
89-0135;19808
88-0250;19808
99-0179;19808
94-0191;19810
94-0156;19810
98-0128;19812
96-0036;19814
97-0334;19814
05-0040;19816
89-0452;19818
87-0234;19820
05-0047;19820
-;19822
93-0583;19824
14-0910;19758
95-0713;19826
94-0383;19828
94-0226;19830
95-0858;19832
94-0242;19834
05-0051;19836
95-0753;19839
12-0817;19759
87-0244;19760
99-0418;19769
11-0360;19769
99-0182;19769
07-0176;19762
95-0624;19773
11-0387;19773
87-0001;19773
14-0056;19764
94-0481;19649
87-0087;19841
89-0003;19858
87-0010;19893
10-0467;19893
98-0126;19893
08-0225;19893
10-0867;19893
99-0398;19893
16-1419;19893
11-0494;19893
11-0342;19893
16-0383;19893
13-0919;19893
99-0085;19893
13-0917;19893
10-0543;19893
-;19861
10-0349;19896
14-0057;19896
14-0319;19896
10-0594;19896
93-0828;19896
04-0146;19896
15-0875;19896
04-0162;19896
04-0158;19896
97-0228;19863
12-1124;19898
14-0055;19898
95-0840;19898
14-0059;19898
04-0089;19898
95-0671;19898
96-0115;19898
95-0993;19898
11-0662;19898
12-0850;19898
97-0328;19867
02-0259;19900
16-0133;19900
16-1426;19900
16-1410;19900
11-0492;19900
99-0172;19900
15-0874;19900
10-0018;19900
16-0136;19900
16-0376;19900
08-0265;19900
10-0021;19900
10-0591;19900
08-0236;19900
04-0104;19900
07-0263;19900
11-0525;19900
04-0157;19900
11-0680;19900
10-0482;19900
95-1024;19900
90-0265;19871
16-0378;19902
16-1403;19902
00-0531;19902
03-0145;19902
15-1033;19902
10-0852;19902
10-0011;19902
96-0592;19902
00-0325;19902
10-0595;19902
96-0166;19902
16-1925;19902
04-0063;19902
10-0355;19902
12-1117;19902
95-0746;19876
08-0227;19904
15-0751;19904
02-0086;19904
07-0239;19904
12-0646;19904
10-0871;19904
11-0522;19904
12-0653;19904
17-0585;19904
08-0259;19904
16-1409;19904
08-0245;19904
87-0005;19879
16-1408;19906
16-1418;19906
95-0688;19906
95-0303;19906
00-0246;19906
16-0408;19906
11-0701;19906
16-0377;19906
10-0346;19906
07-0254;19906
11-0696;19906
11-0685;19906
07-0257;19906
17-0590;19906
08-0250;19906
10-0843;19884
94-0193;19846
99-0087;19911
02-0124;19946
11-0668;19946
12-1113;19946
08-0224;19946
01-0029;19946
13-0769;19946
10-0861;19946
11-0678;19946
08-0228;19946
16-0409;19946
16-0503;19946
05-0037;19946
96-0028;19946
16-0368;19946
94-0122;19914
14-0062;19949
93-0834;19949
00-0539;19949
15-0876;19949
95-0341;19949
04-0156;19949
94-0426;19949
94-0063;19918
93-0453;19954
12-0659;19954
15-0877;19954
16-0380;19954
97-0368;19954
11-0705;19954
16-0355;19954
04-0159;19954
04-0154;19954
14-0063;19954
95-1103;19922
03-0083;19959
16-0137;19959
96-0116;19959
07-0240;19959
16-1424;19959
16-0357;19959
10-0017;19959
08-0222;19959
94-0055;19959
00-0540;19959
96-0367;19959
10-0485;19959
10-0541;19959
99-0417;19959
10-0008;19959
10-0428;19959
08-0233;19959
07-0152;19959
05-0054;19959
00-0652;19959
07-0237;19959
11-0669;19959
90-0267;19924
11-0715;19963
14-0061;19963
11-0519;19963
10-0007;19963
11-0400;19963
08-0252;19963
12-0652;19963
12-1126;19963
07-0227;19963
04-0087;19963
95-0318;19963
12-0645;19963
16-0374;19963
07-0243;19963
90-0292;19963
12-0846;19963
08-0242;19963
10-0603;19963
95-0036;19929
11-0660;19967
00-0660;19967
11-0393;19967
11-0523;19967
97-0322;19967
02-0258;19967
10-0663;19967
95-0744;19967
99-0175;19967
10-0024;19967
04-0144;19967
16-1417;19967
07-0149;19933
12-0649;19972
99-0123;19972
11-0344;19972
10-0475;19972
11-0717;19972
17-0586;19972
16-0356;19972
95-0379;19972
00-0667;19972
95-0973;19972
11-0201;19972
15-0748;19972
08-0257;19935
88-0085;19849
05-0050;19976
11-0514;20003
11-0390;20003
11-0397;20003
13-0923;20003
90-0716;20003
11-0495;20003
00-0662;20003
10-0589;20003
16-2093;20003
14-0064;20003
11-0679;20003
10-0348;20003
