posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
18877;8017836;OPERATOR CURING DTC LINE E - H;18870;50124;30124;10136;;GT_WRKR;
18879;8017838;OPERATOR CURING DTC LINE I - K;18872;50124;30124;10136;;GT_WRKR;
18881;8017840;OPERATOR CURING DTC LINE L - N;18873;50124;30124;10136;;GT_WRKR;
18882;8017841;TEAM LEADER CURING DTC LINE A - D;18865;50124;30124;10136;;GT_STFF;
18883;8017842;TEAM LEADER CURING DTC LINE E - H;18865;50124;30124;10136;;GT_STFF;
18884;8017843;TEAM LEADER CURING DTC LINE I - K;18865;50124;30124;10136;;GT_STFF;
18885;8017844;TEAM LEADER CURING DTC LINE L - N;18865;50124;30124;10136;;GT_STFF;
18887;8017846;OPERATOR CURING DTC LINE A - D;18882;50124;30124;10136;;GT_WRKR;
18889;8017848;OPERATOR CURING DTC LINE E - H;18883;50124;30124;10136;;GT_WRKR;
18891;8017850;OPERATOR CURING DTC LINE I - K;18884;50124;30124;10136;;GT_WRKR;
18893;8017852;OPERATOR CURING DTC LINE L - N;18885;50124;30124;10136;;GT_WRKR;
18894;8017853;TEAM LEADER CURING DTC LINE A - D;18866;50124;30124;10136;;GT_STFF;
18895;8017854;TEAM LEADER CURING DTC LINE E - H;18866;50124;30124;10136;;GT_STFF;
18896;8017855;TEAM LEADER CURING DTC LINE I - K;18866;50124;30124;10136;;GT_STFF;
18897;8017856;TEAM LEADER CURING DTC LINE L - N;18866;50124;30124;10136;;GT_STFF;
18899;8018033;TEAM LEADER DTE LINE 1-2 & SUPPLY;18792;50124;30124;10134;;GT_STFF;
18901;8018035;TEAM LEADER DTE LINE 1-2 & SUPPLY;18792;50124;30124;10134;;GT_STFF;
18903;8018037;TEAM LEADER DTE LINE 1-2 & SUPPLY;18792;50124;30124;10134;;GT_STFF;
18905;8017858;TEAM LEADER CURING DTC LINE E - H;18867;50124;30124;10136;;GT_STFF;
18907;8017859;TEAM LEADER CURING DTC LINE I - K;18867;50124;30124;10136;;GT_STFF;
18908;8017860;TEAM LEADER CURING DTC LINE L - N;18867;50124;30124;10136;;GT_STFF;
18910;8018039;TEAM LEADER DTE LINE 1-2 & SUPPLY;18792;50124;30124;10134;;GT_STFF;
18911;8017862;OPERATOR CURING DTC LINE A - D;18894;50124;30124;10136;;GT_WRKR;
18914;8017864;OPERATOR CURING DTC LINE E - H;18895;50124;30124;10136;;GT_WRKR;
18916;8017866;OPERATOR CURING DTC LINE I - K;18896;50124;30124;10136;;GT_WRKR;
18917;8018041;OPERATOR DTE LINE 1-2 & SUPPLY;18899;50124;30124;10134;;GT_WRKR;
18919;8017868;OPERATOR CURING DTC LINE L - N;18897;50124;30124;10136;;GT_WRKR;
18921;8017870;TEAM LEADER CURING DTC LINE A - D;18867;50124;30124;10136;;GT_STFF;
18922;8017871;OPERATOR CURING DTC LINE A - D;18921;50124;30124;10136;;GT_WRKR;
18923;8017872;OPERATOR CURING DTC LINE E - H;18905;50124;30124;10136;;GT_WRKR;
18925;8017874;OPERATOR CURING DTC LINE I - K;18907;50124;30124;10136;;GT_WRKR;
18927;8017876;OPERATOR CURING DTC LINE L - N;18908;50124;30124;10136;;GT_WRKR;
18928;8017877;SECTION HEAD CURING KTC;18804;50124;30124;10136;;GT_SPV;
18929;8017878;SECTION HEAD CURING KTC;18804;50124;30124;10136;;GT_SPV;
18934;8018046;TEAM LEADER DTE LINE 3-4;18792;50124;30124;10134;;GT_STFF;
18935;8018047;TEAM LEADER DTE LINE 3-4;18792;50124;30124;10134;;GT_STFF;
18936;8018048;TEAM LEADER DTE LINE 3-4;18792;50124;30124;10134;;GT_STFF;
18937;8018049;TEAM LEADER DTE LINE 3-4;18792;50124;30124;10134;;GT_STFF;
18939;8018051;OPERATOR DTE LINE 1-2 & SUPPLY;18901;50124;30124;10134;;GT_WRKR;
18941;8018053;OPERATOR DTE LINE 1-2 & SUPPLY;18903;50124;30124;10134;;GT_WRKR;
18943;8018055;OPERATOR DTE LINE 1-2 & SUPPLY;18910;50124;30124;10134;;GT_WRKR;
18945;8018057;OPERATOR DTE LINE 3-4;18934;50124;30124;10134;;GT_WRKR;
18947;8018059;OPERATOR DTE LINE 3-4;18935;50124;30124;10134;;GT_WRKR;
18949;8018061;OPERATOR DTE LINE 3-4;18936;50124;30124;10134;;GT_WRKR;
18951;8018063;OPERATOR DTE LINE 3-4;18937;50124;30124;10134;;GT_WRKR;
18956;8018068;STAFF PROFILO PLANT D;18792;50124;30124;10134;;GT_STFF;
18957;8018069;STAFF PROFILO PLANT D;18792;50124;30124;10134;;GT_STFF;
18958;8018070;STAFF PROFILO PLANT D;18792;50124;30124;10134;;GT_STFF;
18959;8018071;STAFF PROFILO PLANT D;18792;50124;30124;10134;;GT_STFF;
18961;8018073;TEAM LEADER KTE LINE 1-2;18871;50124;30124;10134;;GT_STFF;
18963;8018075;TEAM LEADER KTE LINE 1-2;18871;50124;30124;10134;;GT_STFF;
18965;8018077;TEAM LEADER KTE LINE 1-2;18871;50124;30124;10134;;GT_STFF;
18967;8018079;TEAM LEADER KTE LINE 1-2;18871;50124;30124;10134;;GT_STFF;
18968;8017879;SECTION HEAD CURING KTC;18804;50124;30124;10136;;GT_SPV;
18969;8017880;SECTION HEAD CURING KTC;18804;50124;30124;10136;;GT_SPV;
18970;8017881;TEAM LEADER CURING KTC LINE A - D;18928;50124;30124;10136;;GT_STFF;
18971;8017882;TEAM LEADER CURING KTC LINE E - H;18928;50124;30124;10136;;GT_STFF;
18972;8017883;TEAM LEADER CURING KTC LINE I - L;18928;50124;30124;10136;;GT_STFF;
18974;8017885;OPERATOR CURING KTC LINE A - D;18970;50124;30124;10136;;GT_WRKR;
18977;8017887;OPERATOR CURING KTC LINE E - H;18971;50124;30124;10136;;GT_WRKR;
18979;8018081;OPERATOR KTE LINE 1-2;18961;50124;30124;10134;;GT_WRKR;
18980;8017889;OPERATOR CURING KTC LINE I - L;18972;50124;30124;10136;;GT_WRKR;
18981;8018082;OPERATOR KTE LINE 1-2;18963;50124;30124;10134;;GT_WRKR;
18983;8017890;TEAM LEADER CURING KTC LINE A - D;18929;50124;30124;10136;;GT_STFF;
18985;8017892;OPERATOR CURING KTC LINE A - D;18983;50124;30124;10136;;GT_WRKR;
18986;8017893;TEAM LEADER CURING KTC LINE E - H;18929;50124;30124;10136;;GT_STFF;
18989;8018085;OPERATOR KTE LINE 1-2;18965;50124;30124;10134;;GT_WRKR;
18990;8017895;OPERATOR CURING KTC LINE E - H;18986;50124;30124;10136;;GT_WRKR;
18992;8018087;OPERATOR KTE LINE 1-2;18967;50124;30124;10134;;GT_WRKR;
18993;8017896;TEAM LEADER CURING KTC LINE I - L;18929;50124;30124;10136;;GT_STFF;
18995;8017898;OPERATOR CURING KTC LINE I - L;18993;50124;30124;10136;;GT_WRKR;
18996;8017899;TEAM LEADER CURING KTC LINE A - D;18968;50124;30124;10136;;GT_STFF;
18998;8017901;OPERATOR CURING KTC LINE A - D;18996;50124;30124;10136;;GT_WRKR;
18999;8017902;TEAM LEADER CURING KTC LINE E - H;18968;50124;30124;10136;;GT_STFF;
19001;8017904;OPERATOR CURING KTC LINE E - H;18999;50124;30124;10136;;GT_WRKR;
19002;8017905;TEAM LEADER CURING KTC LINE I - L;18968;50124;30124;10136;;GT_STFF;
19004;8017907;OPERATOR CURING KTC LINE I - L;19002;50124;30124;10136;;GT_WRKR;
19005;8017908;TEAM LEADER CURING KTC LINE A - D;18969;50124;30124;10136;;GT_STFF;
19007;8017911;OPERATOR CURING KTC LINE A - D;19005;50124;30124;10136;;GT_WRKR;
19008;8017912;TEAM LEADER CURING KTC LINE E - H;18969;50124;30124;10136;;GT_STFF;
19010;8017914;OPERATOR CURING KTC LINE E - H;19008;50124;30124;10136;;GT_WRKR;
19011;8017915;TEAM LEADER CURING KTC LINE I - L;18969;50124;30124;10136;;GT_STFF;
19013;8017917;OPERATOR CURING KTC LINE I - L;19011;50124;30124;10136;;GT_WRKR;
19014;8017918;SAFETY OFFICER;18804;50124;30124;10136;;GT_SPV;
19015;8017919;ADMINISTRATION;18804;50124;30124;10136;;GT_STFF;
19016;8017920;SUB DEPT. HEAD NON PRODUCTION CURING;18802;50124;30124;10136;;GT_JMGR;
19017;8017921;SECTION HEAD MOLD SUPPORTING;19016;50124;30124;10136;;GT_SPV;
19018;8017922;STAFF MOLD SUPPORTING 1;19017;50124;30124;10136;;GT_STFF;
19019;8017923;STAFF MOLD SUPPORTING 2;19017;50124;30124;10136;;GT_STFF;
19020;8017924;STAFF TOOLING MOLD;19017;50124;30124;10136;;GT_STFF;
19021;8017925;STAFF PM GENERAL;19017;50124;30124;10136;;GT_STFF;
19022;8017926;STAFF AKURASI LOADING;19017;50124;30124;10136;;GT_STFF;
19023;8017927;STAFF AUTONOMOUS MAINTENANCE;19017;50124;30124;10136;;GT_STFF;
19024;8017928;STAFF CLEANING MESIN;19017;50124;30124;10136;;GT_STFF;
19025;8017929;SECTION HEAD MOLD PREPARATION & SET UP;19016;50124;30124;10136;;GT_SPV;
19026;8017930;SCHEDULE CONTROLLER;19025;50124;30124;10136;;GT_STFF;
19027;8017931;TEAM LEADER SET UP MOLD DTC;19025;50124;30124;10136;;GT_STFF;
19029;8017933;OPERATOR SET UP MOLD DTC;19027;50124;30124;10136;;GT_WRKR;
19030;8017934;TEAM LEADER SET UP MOLD KTC;19025;50124;30124;10136;;GT_STFF;
19032;8017936;OPERATOR SET UP MOLD KTC;19030;50124;30124;10136;;GT_WRKR;
19033;8017937;TEAM LEADER CLEANING MOLD;19025;50124;30124;10136;;GT_STFF;
19035;8017939;OPERATOR CLEANING MOLD;19033;50124;30124;10136;;GT_WRKR;
19036;8017940;SECTION HEAD MOLD PREPARATION & SET UP;19016;50124;30124;10136;;GT_SPV;
19037;8017941;SCHEDULE CONTROLLER;19036;50124;30124;10136;;GT_STFF;
19038;8017942;TEAM LEADER SET UP MOLD DTC;19036;50124;30124;10136;;GT_STFF;
19040;8017944;OPERATOR SET UP MOLD DTC;19038;50124;30124;10136;;GT_WRKR;
19041;8017945;TEAM LEADER SET UP MOLD KTC;19036;50124;30124;10136;;GT_STFF;
19043;8017947;OPERATOR SET UP MOLD KTC;19041;50124;30124;10136;;GT_WRKR;
19044;8017948;TEAM LEADER CLEANING MOLD;19036;50124;30124;10136;;GT_STFF;
19046;8017950;OPERATOR CLEANING MOLD;19044;50124;30124;10136;;GT_WRKR;
19047;8017951;SECTION HEAD MOLD PREPARATION & SET UP;19016;50124;30124;10136;;GT_SPV;
19048;8017952;SCHEDULE CONTROLLER;19047;50124;30124;10136;;GT_STFF;
19049;8017953;TEAM LEADER SET UP MOLD DTC;19047;50124;30124;10136;;GT_STFF;
19051;8017955;OPERATOR SET UP MOLD DTC;19049;50124;30124;10136;;GT_WRKR;
19052;8017956;TEAM LEADER SET UP MOLD KTC;19047;50124;30124;10136;;GT_STFF;
19054;8017958;OPERATOR SET UP MOLD KTC;19052;50124;30124;10136;;GT_WRKR;
19055;8017959;TEAM LEADER CLEANING MOLD;19047;50124;30124;10136;;GT_STFF;
19057;8017961;OPERATOR CLEANING MOLD;19055;50124;30124;10136;;GT_WRKR;
19058;8017962;SECTION HEAD MOLD PREPARATION & SET UP;19016;50124;30124;10136;;GT_SPV;
19059;8017963;SCHEDULE CONTROLLER;19058;50124;30124;10136;;GT_STFF;
19060;8017964;TEAM LEADER SET UP MOLD DTC;19058;50124;30124;10136;;GT_STFF;
19062;8017966;OPERATOR SET UP MOLD DTC;19060;50124;30124;10136;;GT_WRKR;
19063;8017967;TEAM LEADER SET UP MOLD KTC;19058;50124;30124;10136;;GT_STFF;
19065;8017969;OPERATOR SET UP MOLD KTC;19063;50124;30124;10136;;GT_WRKR;
19066;8017970;TEAM LEADER CLEANING MOLD;19058;50124;30124;10136;;GT_STFF;
19068;8017972;OPERATOR CLEANING MOLD;19066;50124;30124;10136;;GT_WRKR;
19069;8017973;SECTION HEAD BLADDER SETTING & DBL;19016;50124;30124;10136;;GT_SPV;
19070;8017974;TEAM LEADER BLADDER SETTING & DBL;19069;50124;30124;10136;;GT_STFF;
19073;8017977;WORKER BLADDER SETTING;19070;50124;30124;10136;;GT_WRKR;
19074;8017978;WORKER DBL;19070;50124;30124;10136;;GT_WRKR;
19075;8017979;TEAM LEADER BLADDER SETTING & DBL;19069;50124;30124;10136;;GT_STFF;
19077;8017981;WORKER BLADDER SETTING;19075;50124;30124;10136;;GT_WRKR;
19079;8017983;WORKER DBL;19075;50124;30124;10136;;GT_WRKR;
19080;8017984;TEAM LEADER BLADDER SETTING & DBL;19069;50124;30124;10136;;GT_STFF;
19082;8017986;WORKER BLADDER SETTING;19080;50124;30124;10136;;GT_WRKR;
19084;8017988;WORKER DBL;19080;50124;30124;10136;;GT_WRKR;
19085;8017989;TEAM LEADER BLADDER SETTING & DBL;19069;50124;30124;10136;;GT_STFF;
19087;8017991;WORKER BLADDER SETTING;19085;50124;30124;10136;;GT_WRKR;
